Zonas  Turísticas;Periodo;Total
Andalucía: Costa De La Luz De Cádiz;2014M11;5,61
Andalucía: Costa De La Luz De Cádiz;2014M10;3,53
Andalucía: Costa De La Luz De Cádiz;2014M09;3,23
Andalucía: Costa De La Luz De Cádiz;2014M08;3,72
Andalucía: Costa De La Luz De Cádiz;2014M07;3,37
Andalucía: Costa De La Luz De Cádiz;2014M06;2,71
Andalucía: Costa De La Luz De Cádiz;2014M05;2,76
Andalucía: Costa De La Luz De Cádiz;2014M04;2,96
Andalucía: Costa De La Luz De Cádiz;2014M03;4,49
Andalucía: Costa De La Luz De Cádiz;2014M02;5,46
Andalucía: Costa De La Luz De Cádiz;2014M01;8,02
Andalucía: Costa De La Luz De Cádiz;2013M12;6,15
Andalucía: Costa De La Luz De Cádiz;2013M11;5,25
Andalucía: Costa De La Luz De Cádiz;2013M10;3,33
Andalucía: Costa De La Luz De Cádiz;2013M09;3,31
Andalucía: Costa De La Luz De Cádiz;2013M08;4,05
Andalucía: Costa De La Luz De Cádiz;2013M07;3,51
Andalucía: Costa De La Luz De Cádiz;2013M06;2,77
Andalucía: Costa De La Luz De Cádiz;2013M05;2,63
Andalucía: Costa De La Luz De Cádiz;2013M04;2,92
Andalucía: Costa De La Luz De Cádiz;2013M03;4,82
Andalucía: Costa De La Luz De Cádiz;2013M02;6,65
Andalucía: Costa De La Luz De Cádiz;2013M01;9,37
Andalucía: Costa De La Luz De Cádiz;2012M12;9,34
Andalucía: Costa De La Luz De Cádiz;2012M11;5,71
Andalucía: Costa De La Luz De Cádiz;2012M10;3,9
Andalucía: Costa De La Luz De Cádiz;2012M09;3,48
